simple_date,year,steps,mins_asleep,efficiency
2012-08-10,2012,8615,312,78
2012-08-11,2012,16167,442,92
2012-08-12,2012,14563,382,88
2012-08-15,2012,15136,403,89
2012-08-16,2012,23567,276,73
2012-08-17,2012,22813,380,78
2012-08-18,2012,18481,383,82
2012-08-19,2012,13566,398,82
2012-08-20,2012,16876,289,72
2012-08-21,2012,20464,346,89
2012-08-22,2012,21110,405,86
2012-08-23,2012,25701,398,88
2012-08-24,2012,27810,373,87
2012-08-26,2012,12625,454,90
2012-08-27,2012,15533,374,86
2012-08-28,2012,18452,335,79
2012-08-29,2012,27209,342,79
2012-08-30,2012,14885,379,88
2012-08-31,2012,19759,373,79
2012-09-01,2012,17515,369,71
2012-09-02,2012,12822,438,85
2012-09-03,2012,26914,368,83
2012-09-04,2012,16333,346,78
2012-09-09,2012,22456,347,85
2012-09-10,2012,16571,286,75
2012-09-15,2012,16530,312,74
2012-09-16,2012,17667,431,90
2012-09-17,2012,15469,323,71
2012-09-18,2012,16653,318,78
2012-09-19,2012,8684,387,75
2012-09-21,2012,17435,301,76
2012-09-22,2012,27708,16,100
2012-09-22,2012,27708,391,88
2012-09-24,2012,7664,426,87
2012-09-25,2012,15722,358,72
2012-09-26,2012,20827,135,91
2012-09-30,2012,18920,376,84
2012-10-01,2012,19211,268,80
2012-10-04,2012,20885,467,73
2012-10-06,2012,6246,302,88
2012-10-08,2012,17358,394,79
2012-10-09,2012,24004,440,85
2012-10-10,2012,24298,366,72
2012-10-11,2012,7839,373,74
2012-10-13,2012,23405,289,91
2012-10-14,2012,15141,451,90
2012-10-15,2012,18993,358,81
2012-10-16,2012,12277,404,77
2012-10-17,2012,24663,108,79
2012-10-18,2012,23838,498,79
2012-10-20,2012,21564,297,72
2012-10-21,2012,29013,383,81
2012-10-24,2012,21336,392,78
2012-10-25,2012,18903,317,77
2012-10-26,2012,21544,413,70
2012-10-27,2012,5373,21,45
2012-10-27,2012,5373,309,85
2012-10-28,2012,14736,457,88
2012-10-29,2012,17516,498,90
2012-10-30,2012,20299,304,70
2012-10-31,2012,19066,431,78
2012-11-01,2012,21143,440,84
2012-11-02,2012,11004,384,86
2012-11-03,2012,24994,399,89
2012-11-05,2012,17704,406,85
2012-11-06,2012,20774,324,89
2012-11-08,2012,16366,0,0
2012-11-08,2012,16366,504,83
2012-11-10,2012,24941,380,84
2012-11-11,2012,21882,434,78
2012-11-11,2012,21882,434,78
2012-11-12,2012,11952,317,83
2012-11-13,2012,21524,453,89
2012-11-14,2012,13357,309,65
2012-11-15,2012,10013,383,78
2012-11-17,2012,18943,471,88
2012-11-18,2012,24068,408,78
2012-11-19,2012,20128,387,80
2012-11-20,2012,22685,408,86
2012-11-21,2012,28284,126,100
2012-11-22,2012,10703,475,82
2012-11-23,2012,18646,451,92
2012-11-24,2012,15008,419,82
2012-11-26,2012,20548,288,64
2012-11-27,2012,7959,343,82
2012-11-28,2012,18815,380,86
2012-11-29,2012,21974,440,87
2012-12-01,2012,17124,316,88
2012-12-02,2012,17202,407,76
2012-12-03,2012,20887,387,84
2012-12-05,2012,7900,0,0
2012-12-06,2012,21869,22,100
2012-12-07,2012,16712,440,82
2012-12-08,2012,10675,391,80
2012-12-18,2012,16173,550,88
2012-12-20,2012,20315,434,76
2012-12-23,2012,11774,311,61
2012-12-26,2012,19600,392,87
2012-12-29,2012,18646,409,76
2013-01-01,2013,11341,432,80
2013-01-02,2013,17758,459,85
2013-01-03,2013,19308,415,82
2013-01-04,2013,21353,459,86
2013-01-07,2013,20771,413,82
2013-01-08,2013,22387,436,83
2013-01-09,2013,21842,412,85
2013-01-10,2013,20558,0,0
2013-01-10,2013,20558,314,71
2013-01-10,2013,20558,0,0
2013-01-10,2013,20558,314,71
2013-01-12,2013,16734,422,82
2013-01-13,2013,23981,460,89
2013-01-14,2013,15006,359,76
2013-01-15,2013,17772,328,68
2013-01-16,2013,14007,419,80
2013-01-17,2013,19132,399,89
2013-01-18,2013,18961,402,79
2013-01-19,2013,24367,416,92
2013-01-20,2013,25383,384,77
2013-01-21,2013,14844,27,100
2013-01-22,2013,18700,478,87
2013-01-23,2013,19831,429,92
2013-01-24,2013,17367,384,77
2013-01-25,2013,17787,413,95
2013-01-26,2013,12411,467,90
2013-01-27,2013,18711,408,82
2013-01-28,2013,20913,407,72
2013-01-30,2013,19689,462,86
2013-01-31,2013,16363,381,69
2013-02-01,2013,18868,427,87
2013-02-02,2013,22811,431,89
2013-02-04,2013,18467,445,87
2013-02-05,2013,17100,369,76
2013-02-06,2013,18690,380,78
2013-02-07,2013,19145,444,87
2013-02-08,2013,11817,417,88
2013-02-10,2013,25290,409,78
2013-02-11,2013,21883,413,84
2013-02-12,2013,19531,416,88
2013-02-14,2013,15203,477,81
2013-02-15,2013,25255,331,63
